pref_ns_prefix,document_modified,term_localName,term_isDefinedBy,term_created,term_modified,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
ltc,2023-07-14T12:47:55-5:00,Address,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Address,A physical address for an organisational unit or person.,,,,http://www.w3.org/2000/01/rdf-schema#Class,
schema,2023-07-14T12:47:55-5:00,addressCountry,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Address Country,"The country. For example, USA. You can also provide the two-letter ISO 3166-1 alpha-2 country code.",,Recommended best practice is to use a controlled vocabulary -- e.g. current ISO 3166 Country Codes.,"`Denmark`, `DK`, `Colombia`, `CO`, `España`, `ES`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Address
schema,2023-07-14T12:47:55-5:00,addressLocality,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Address Locality,"The locality in which the street address is, and which is in the region. For example, Mountain View.",The locality in which the address is located. AddressLocality is a more specific geographic area than addressRegion.,,"`Holzminden`, `Araçatuba`, `Ga-Segonyana`, `Mountain View`, `Coventry`, `Tokyo`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Address
schema,2023-07-14T12:47:55-5:00,addressRegion,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Address Region,"The region in which the locality is, and which is in the country. For example, California or another appropriate first-level Administrative division.",,,"`Missoula`, `Los Lagos`, `Mataró`, `Guangdong`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Address
ltc,2023-07-14T12:47:55-5:00,addressType,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Address Type,"A person or organization can have different addresses, for different purposes. For example, a postal address, a loan address, an address for visits and so on. This property is used to specify the kind of address.",,,"`Physical`, `Postal`, `Loans`, `Visits`, `Home`, `Work`, `Main`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Address
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Address
schema,2023-07-14T12:47:55-5:00,postalCode,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Postal Code,"The postal code. For example, 94043.",,,"`32308`, `SW7 5HD`, `10115`, `3080`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Address
schema,2023-07-14T12:47:55-5:00,postOfficeBoxNumber,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Post Office Box Number,The post office box number for PO box addresses.,,,`PO Box 7169`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Address
schema,2023-07-14T12:47:55-5:00,streetAddress,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Street Address,"The street address. For example, 1600 Amphitheatre Pkwy.",,,"`Invalidenstraße 43`, `1400 S. Du Sable Lake Shore Dr`, `960 Carling Avenue`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Address
ltc,2023-07-14T12:47:55-5:00,ChronometricAge,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Chronometric Age,The age of a specimen or related materials that is generated from a dating assay.,,"""To represent a single age, enter the same value in both earliestChronometricAge and latestChronometricAge. Leaving one or both of these fields blank indicates that the value is unknown, has yet to be recorded or is not applicable to the material being described. We recommend that you do not use this class to indicate chronostratigraphy: it is intended to be used to reflect a chronometric age or range of ages determined via one or more named analytical protocols, methods or techniques.""",,http://www.w3.org/2000/01/rdf-schema#Class,
